country_id,win,year,sf_qualify,top10_last,place_10y,place_20y,place_10y_range,place_20y_range
11,0,1977,0,0,55.0,55.0,4,4
12,0,1977,0,0,55.0,55.0,4,4
13,0,1977,0,0,55.0,55.0,4,4
14,0,1977,0,1,55.0,55.0,4,4
15,0,1977,0,1,55.0,55.0,4,4
16,0,1977,0,0,55.0,55.0,4,4
17,0,1977,0,1,55.0,55.0,4,4
18,0,1977,0,0,55.0,55.0,4,4
19,0,1977,0,1,55.0,55.0,4,4
20,0,1977,0,0,55.0,55.0,4,4
21,0,1977,0,0,55.0,55.0,4,4
22,0,1977,0,0,55.0,55.0,4,4
23,0,1977,0,0,55.0,55.0,4,4
24,0,1977,0,0,55.0,55.0,4,4
25,0,1977,0,0,55.0,55.0,4,4
26,0,1977,0,0,55.0,55.0,4,4
27,0,1977,0,0,55.0,55.0,4,4
28,0,1977,0,0,55.0,55.0,4,4
29,0,1977,0,0,55.0,55.0,4,4
30,0,1977,0,0,55.0,55.0,4,4
31,0,1977,0,0,55.0,55.0,4,4
32,0,1977,0,0,55.0,55.0,4,4
33,0,1977,0,0,55.0,55.0,4,4
34,0,1977,0,0,55.0,55.0,4,4
35,0,1977,0,0,55.0,55.0,4,4
36,0,1977,0,0,55.0,55.0,4,4
37,0,1977,0,0,55.0,55.0,4,4
38,0,1977,0,0,55.0,55.0,4,4
39,0,1977,0,0,55.0,55.0,4,4
40,0,1977,0,0,55.0,55.0,4,4
41,0,1977,0,0,55.0,55.0,4,4
42,0,1977,0,0,55.0,55.0,4,4
43,0,1977,0,0,55.0,55.0,4,4
44,0,1977,0,0,55.0,55.0,4,4
45,0,1977,0,0,55.0,55.0,4,4
46,0,1977,0,0,55.0,55.0,4,4
47,0,1977,0,0,55.0,55.0,4,4
48,0,1977,0,0,55.0,55.0,4,4
49,0,1977,0,0,55.0,55.0,4,4
50,0,1977,0,0,55.0,55.0,4,4
51,0,1977,0,0,55.0,55.0,4,4
52,0,1977,0,0,55.0,55.0,4,4
53,0,1977,0,0,55.0,55.0,4,4
0,0,1978,0,1,55.0,55.0,4,4
1,0,1978,0,1,55.0,55.0,4,4
2,0,1978,0,1,55.0,55.0,4,4
3,0,1978,0,1,55.0,55.0,4,4
4,0,1978,0,1,55.0,55.0,4,4
5,1,1978,0,0,55.0,55.0,4,4
6,0,1978,0,0,55.0,55.0,4,4
7,0,1978,0,0,55.0,55.0,4,4
8,0,1978,0,0,55.0,55.0,4,4
9,0,1978,0,1,55.0,55.0,4,4
10,0,1978,0,0,55.0,55.0,4,4
11,0,1978,0,0,55.0,55.0,4,4
12,0,1978,0,1,55.0,55.0,4,4
13,0,1978,0,0,55.0,55.0,4,4
14,0,1978,0,1,55.0,55.0,4,4
15,0,1978,0,0,55.0,55.0,4,4
16,0,1978,0,0,55.0,55.0,4,4
17,0,1978,0,1,55.0,55.0,4,4
18,0,1978,0,0,55.0,55.0,4,4
19,0,1978,0,0,55.0,55.0,4,4
20,0,1978,0,1,55.0,55.0,4,4
21,0,1978,0,0,55.0,55.0,4,4
22,0,1978,0,0,55.0,55.0,4,4
23,0,1978,0,0,55.0,55.0,4,4
24,0,1978,0,0,55.0,55.0,4,4
25,0,1978,0,0,55.0,55.0,4,4
26,0,1978,0,0,55.0,55.0,4,4
27,0,1978,0,0,55.0,55.0,4,4
28,0,1978,0,0,55.0,55.0,4,4
29,0,1978,0,0,55.0,55.0,4,4
30,0,1978,0,0,55.0,55.0,4,4
31,0,1978,0,0,55.0,55.0,4,4
32,0,1978,0,0,55.0,55.0,4,4
33,0,1978,0,0,55.0,55.0,4,4
34,0,1978,0,0,55.0,55.0,4,4
35,0,1978,0,0,55.0,55.0,4,4
36,0,1978,0,0,55.0,55.0,4,4
37,0,1978,0,0,55.0,55.0,4,4
38,0,1978,0,0,55.0,55.0,4,4
39,0,1978,0,0,55.0,55.0,4,4
40,0,1978,0,0,55.0,55.0,4,4
41,0,1978,0,0,55.0,55.0,4,4
42,0,1978,0,0,55.0,55.0,4,4
43,0,1978,0,0,55.0,55.0,4,4
44,0,1978,0,0,55.0,55.0,4,4
45,0,1978,0,0,55.0,55.0,4,4
46,0,1978,0,0,55.0,55.0,4,4
47,0,1978,0,0,55.0,55.0,4,4
48,0,1978,0,0,55.0,55.0,4,4
49,0,1978,0,0,55.0,55.0,4,4
50,0,1978,0,0,55.0,55.0,4,4
51,0,1978,0,0,55.0,55.0,4,4
52,0,1978,0,0,55.0,55.0,4,4
53,0,1978,0,0,55.0,55.0,4,4
0,0,1979,0,1,55.0,55.0,4,4
1,0,1979,0,0,55.0,55.0,4,4
2,0,1979,0,1,55.0,55.0,4,4
3,0,1979,0,1,55.0,55.0,4,4
4,0,1979,0,1,55.0,55.0,4,4
5,1,1979,0,1,55.0,55.0,4,4
6,0,1979,0,0,55.0,55.0,4,4
7,0,1979,0,1,55.0,55.0,4,4
8,0,1979,0,0,55.0,55.0,4,4
9,0,1979,0,1,55.0,55.0,4,4
10,0,1979,0,0,55.0,55.0,4,4
11,0,1979,0,0,55.0,55.0,4,4
12,0,1979,0,1,55.0,55.0,4,4
13,0,1979,0,0,55.0,55.0,4,4
14,0,1979,0,1,55.0,55.0,4,4
15,0,1979,0,0,55.0,55.0,4,4
16,0,1979,0,0,55.0,55.0,4,4
17,0,1979,0,0,55.0,55.0,4,4
18,0,1979,0,0,55.0,55.0,4,4
19,0,1979,0,0,55.0,55.0,4,4
20,0,1979,0,1,55.0,55.0,4,4
21,0,1979,0,0,55.0,55.0,4,4
22,0,1979,0,0,55.0,55.0,4,4
23,0,1979,0,0,55.0,55.0,4,4
24,0,1979,0,0,55.0,55.0,4,4
25,0,1979,0,0,55.0,55.0,4,4
26,0,1979,0,0,55.0,55.0,4,4
27,0,1979,0,0,55.0,55.0,4,4
28,0,1979,0,0,55.0,55.0,4,4
29,0,1979,0,0,55.0,55.0,4,4
30,0,1979,0,0,55.0,55.0,4,4
31,0,1979,0,0,55.0,55.0,4,4
32,0,1979,0,0,55.0,55.0,4,4
33,0,1979,0,0,55.0,55.0,4,4
34,0,1979,0,0,55.0,55.0,4,4
35,0,1979,0,0,55.0,55.0,4,4
36,0,1979,0,0,55.0,55.0,4,4
37,0,1979,0,0,55.0,55.0,4,4
38,0,1979,0,0,55.0,55.0,4,4
39,0,1979,0,0,55.0,55.0,4,4
40,0,1979,0,0,55.0,55.0,4,4
41,0,1979,0,0,55.0,55.0,4,4
42,0,1979,0,0,55.0,55.0,4,4
43,0,1979,0,0,55.0,55.0,4,4
44,0,1979,0,0,55.0,55.0,4,4
45,0,1979,0,0,55.0,55.0,4,4
46,0,1979,0,0,55.0,55.0,4,4
47,0,1979,0,0,55.0,55.0,4,4
48,0,1979,0,0,55.0,55.0,4,4
49,0,1979,0,0,55.0,55.0,4,4
50,0,1979,0,0,55.0,55.0,4,4
51,0,1979,0,0,55.0,55.0,4,4
52,0,1979,0,0,55.0,55.0,4,4
53,0,1979,0,0,55.0,55.0,4,4
0,0,1980,0,0,55.0,55.0,4,4
1,0,1980,0,0,55.0,55.0,4,4
2,0,1980,0,1,55.0,55.0,4,4
3,0,1980,0,1,55.0,55.0,4,4
4,1,1980,0,1,55.0,55.0,4,4
5,0,1980,0,1,55.0,55.0,4,4
6,0,1980,0,0,55.0,55.0,4,4
7,0,1980,0,0,55.0,55.0,4,4
8,0,1980,0,0,55.0,55.0,4,4
9,0,1980,0,0,55.0,55.0,4,4
10,0,1980,0,0,55.0,55.0,4,4
11,0,1980,0,1,55.0,55.0,4,4
12,0,1980,0,1,55.0,55.0,4,4
13,0,1980,0,0,55.0,55.0,4,4
14,0,1980,0,1,55.0,55.0,4,4
15,0,1980,0,0,55.0,55.0,4,4
16,0,1980,0,0,55.0,55.0,4,4
17,0,1980,0,1,55.0,55.0,4,4
18,0,1980,0,0,55.0,55.0,4,4
19,0,1980,0,0,55.0,55.0,4,4
20,0,1980,0,1,55.0,55.0,4,4
21,0,1980,0,1,55.0,55.0,4,4
22,0,1980,0,0,55.0,55.0,4,4
23,0,1980,0,0,55.0,55.0,4,4
24,0,1980,0,0,55.0,55.0,4,4
25,0,1980,0,0,55.0,55.0,4,4
26,0,1980,0,0,55.0,55.0,4,4
27,0,1980,0,0,55.0,55.0,4,4
28,0,1980,0,0,55.0,55.0,4,4
29,0,1980,0,0,55.0,55.0,4,4
30,0,1980,0,0,55.0,55.0,4,4
31,0,1980,0,0,55.0,55.0,4,4
32,0,1980,0,0,55.0,55.0,4,4
33,0,1980,0,0,55.0,55.0,4,4
34,0,1980,0,0,55.0,55.0,4,4
35,0,1980,0,0,55.0,55.0,4,4
36,0,1980,0,0,55.0,55.0,4,4
37,0,1980,0,0,55.0,55.0,4,4
38,0,1980,0,0,55.0,55.0,4,4
